DateTime,Language,Dataset,TaskNames,TaskTypes,TaskExecTimes
2018-10-22T18:18:46Z,Python,HFlights,Library loading,Loading,0.7596843242645264
2018-10-22T18:18:46Z,Python,HFlights,File loading,Execution,0.4315109252929688
2018-10-22T18:18:46Z,Python,HFlights,Split-apply-combine,Execution,0.12557642459869384
2018-10-22T18:18:46Z,Python,HFlights,String reversal,Execution,0.0789649486541748
2018-10-22T16:18:49Z,R,HFlights,Library loading,Loading,0.235
2018-10-22T16:18:49Z,R,HFlights,File loading,Execution,0.35700000000000004
2018-10-22T16:18:49Z,R,HFlights,Split-apply-combine,Execution,0.02210000000000001
2018-10-22T16:18:49Z,R,HFlights,String reversal,Execution,1.205
2018-10-22T18:19:20Z,Julia,HFlights,Library loading,Loading,14.181468103
2018-10-22T18:19:20Z,Julia,HFlights,File loading,Compilation,7.6743406310000015
2018-10-22T18:19:20Z,Julia,HFlights,File loading,Execution,0.6196395720000001
2018-10-22T18:19:20Z,Julia,HFlights,Split-apply-combine,Compilation,4.9922729194
2018-10-22T18:19:20Z,Julia,HFlights,Split-apply-combine,Execution,0.051148296600000004
2018-10-22T18:19:20Z,Julia,HFlights,String reversal,Compilation,0.150966194
2018-10-22T18:19:20Z,Julia,HFlights,String reversal,Execution,0.056558631
2018-10-22T18:19:57Z,Python,Bitstamp,Library loading,Loading,0.5541036128997803
2018-10-22T18:19:57Z,Python,Bitstamp,File loading,Execution,3.4222829341888428
2018-10-22T18:19:57Z,Python,Bitstamp,Preprocessing,Execution,18.412758350372314
2018-10-22T18:19:57Z,Python,Bitstamp,Processing,Execution,0.8131479740142822
2018-10-22T16:20:07Z,R,Bitstamp,Library loading,Loading,0.402
2018-10-22T16:20:07Z,R,Bitstamp,File loading,Execution,6.165
2018-10-22T16:20:07Z,R,Bitstamp,Preprocessing,Execution,1.6270000000000007
2018-10-22T16:20:07Z,R,Bitstamp,Processing,Execution,0.11379999999999998
2018-10-22T18:20:48.224,Julia,Bitstamp,Library loading,Loading,14.766193462
2018-10-22T18:20:48.224,Julia,Bitstamp,File loading,Compilation,7.837858024000001
2018-10-22T18:20:48.224,Julia,Bitstamp,File loading,Execution,3.152446708
2018-10-22T18:20:48.224,Julia,Bitstamp,Preprocessing,Compilation,0.400795366
2018-10-22T18:20:48.224,Julia,Bitstamp,Preprocessing,Execution,0.097434157
2018-10-22T18:20:48.224,Julia,Bitstamp,Processing,Compilation,4.6531187831
2018-10-22T18:20:48.224,Julia,Bitstamp,Processing,Execution,0.40755488089999997
